Ticker,Date,Headline,Link,Sentiment_Score,Sentiment_Label
TSLA,2026-07-08 20:25:00,Tesla Stock Sank 7% Despite Record Deliveries,https://www.fool.com/investing/2026/07/08/tesla-stock-sank-7-despite-record-deliveries/?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 19:47:48,Sector Update: Consumer Stocks Lower in Late Afternoon Trading,https://finance.yahoo.com/markets/stocks/articles/sector-consumer-stocks-lower-afternoon-194748862.html?.tsrc=rss,-0.296,Negative
TSLA,2026-07-08 19:37:00,Sunrun Wants to Put AI Data Centers in Homes. It Isn’t Lifting the Stock.,https://finance.yahoo.com/m/362cc7fd-c7fc-3a3e-aa82-f3c9100e60a5/sunrun-wants-to-put-ai-data.html?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 19:20:32,TSLA Stock Slips: Tesla's AI Chief Confirms Voice Commands For FSD Under Works,https://stocktwits.com/news-articles/markets/equity/tsla-stock-slips-tesla-ai-chief-confirms-voice-commands-for-fsd-under-works/cZmnGO7R7Ve?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 18:33:57,'Big Short' Michael Burry Bets Against Nvidia and Tesla Again,https://finance.yahoo.com/markets/stocks/articles/big-short-michael-burry-bets-183357587.html?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 18:04:00,Beyond Automotive: Healthcare Automation Drives the Next Leg for Robotics ETFs,https://finance.yahoo.com/healthcare/articles/beyond-automotive-healthcare-automation-drives-180400001.html?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 18:00:13,Price Prediction: Tesla Will Trade at This Price in 3 Years,https://247wallst.com/investing/2026/07/08/price-prediction-tesla-will-trade-at-this-price-in-3-years/?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 17:53:00,Is Tesla Stock a Buy as Deliveries Come in Ahead of Expectations and Its Robotaxis Launch in Miami?,https://www.fool.com/investing/2026/07/08/is-tesla-buy-deliveries-expectation-robotaxi-miami/?.tsrc=rss,0.0,Neutral
TSLA,2026-07-08 17:50:24,Sector Update: Consumer Stocks Lower in Afternoon Trading,https://finance.yahoo.com/markets/stocks/articles/sector-consumer-stocks-lower-afternoon-175024311.html?.tsrc=rss,-0.296,Negative
TSLA,2026-07-08 17:40:24,Elon Musk loses $50 billion in a single day; SpaceX moves bitcoin,http://videos.coindesk.com/previews/e4IIxaK2?.tsrc=rss,-0.3182,Negative
TSLA,2026-07-08 17:37:13,Musk's OpenAI Fight Moves Toward Mediation,https://finance.yahoo.com/technology/ai/articles/musks-openai-fight-moves-toward-173713769.html?.tsrc=rss,-0.3818,Negative
NVDA,2026-07-09 05:50:00,Here's When Elon Musk Can Sell His Billions of SpaceX Shares,https://www.fool.com/investing/2026/07/09/heres-when--elon-musk-can-sell-his-billions-of/?.tsrc=rss,0.296,Positive
NVDA,2026-07-09 05:35:00,Micron Raised Its Guidance on Surging Memory Prices. Here's What It Means for the Stock.,https://www.fool.com/investing/2026/07/09/micron-raised-its-guidance-on-surging-memory-price/?.tsrc=rss,0.0,Neutral
NVDA,2026-07-09 05:19:03,"Dow Jones Futures, Oil Prices Rise Amid Iran News; Nvidia, Valero, Dell, SpaceX In Focus",https://finance.yahoo.com/m/460a0d08-18ee-3417-83ad-76a56f707497/dow-jones-futures%2C-oil-prices.html?.tsrc=rss,0.0,Neutral
